TYPE,SADDR,DADDR,PROTOCOL,I-COUNT,O-COUNT,TIMESTAMP,BYTES
IN,142.250.82.215,10.81.20.225,UDP,1,0,1970-01-01 05:46:01,92
OUT,142.250.82.211,10.81.20.225,UDP,0,6,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,0,6,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,0,6,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,0,6,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,0,6,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,0,6,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,1,6,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,1,1,1970-01-01 05:46:01,92
OUT,142.250.82.215,10.81.20.225,UDP,1,2,1970-01-01 05:46:01,92
IN,142.250.82.215,10.81.20.225,UDP,2,2,1970-01-01 05:46:01,92
OUT,142.250.82.211,10.81.20.225,UDP,1,12,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,1,12,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,1,12,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,1,12,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,1,12,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,1,12,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,2,12,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,2,13,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,2,3,1970-01-01 05:46:01,92
IN,142.250.82.211,10.81.20.225,UDP,3,13,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,2,4,1970-01-01 05:46:01,92
OUT,142.250.82.215,10.81.20.225,UDP,2,5,1970-01-01 05:46:01,92
IN,142.250.82.215,10.81.20.225,UDP,3,5,1970-01-01 05:46:01,92
OUT,142.250.82.211,10.81.20.225,UDP,3,14,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,3,21,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,3,21,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,3,21,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,3,21,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,3,21,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,3,21,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,3,21,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,3,6,1970-01-01 05:46:01,92
IN,142.250.82.211,10.81.20.225,UDP,4,21,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,4,22,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,3,7,1970-01-01 05:46:01,92
IN,142.250.82.211,10.81.20.225,UDP,5,22,1970-01-01 05:46:01,1227
IN,162.159.130.234,10.81.20.225,TCP,1,1,1970-01-01 05:46:01,98
OUT,162.159.130.234,10.81.20.225,TCP,1,1,1970-01-01 05:46:01,98
IN,142.250.82.211,10.81.20.225,UDP,6,22,1970-01-01 05:46:01,1227
OUT,162.159.130.234,10.81.20.225,TCP,1,2,1970-01-01 05:46:01,98
OUT,142.250.82.211,10.81.20.225,UDP,6,29,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,6,29,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,6,29,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,6,29,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,6,29,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,6,29,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,6,29,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,7,29,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,7,31,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,7,31,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,3,8,1970-01-01 05:46:01,92
IN,142.250.82.211,10.81.20.225,UDP,8,31,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,3,9,1970-01-01 05:46:01,92
IN,142.250.82.215,10.81.20.225,UDP,4,9,1970-01-01 05:46:01,92
OUT,142.250.82.215,10.81.20.225,UDP,4,10,1970-01-01 05:46:01,92
OUT,162.159.130.234,10.81.20.225,TCP,1,3,1970-01-01 05:46:01,98
IN,162.159.130.234,10.81.20.225,TCP,2,4,1970-01-01 05:46:01,98
OUT,162.159.130.234,10.81.20.225,TCP,2,4,1970-01-01 05:46:01,98
IN,142.250.82.215,10.81.20.225,UDP,5,10,1970-01-01 05:46:01,92
OUT,163.70.144.60,10.81.20.225,TCP,0,1,1970-01-01 05:46:02,60
OUT,142.250.82.211,10.81.20.225,UDP,8,38,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,8,38,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,8,38,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,8,38,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,8,38,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,8,38,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,8,38,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,8,39,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,9,39,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,9,41,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,9,41,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,10,41,1970-01-01 05:46:01,1227
OUT,192.168.108.121,10.81.20.225,UDP,0,1,1970-01-01 05:46:02,72
OUT,162.159.130.234,10.81.20.225,TCP,2,5,1970-01-01 05:46:01,98
IN,162.159.130.234,10.81.20.225,TCP,3,5,1970-01-01 05:46:01,98
OUT,142.250.82.211,10.81.20.225,UDP,10,47,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,10,47,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,10,47,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,10,47,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,10,47,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,10,47,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,11,47,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,11,48,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,11,51,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,11,51,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,11,51,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,12,51,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,13,51,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,5,11,1970-01-01 05:46:01,92
OUT,142.250.82.215,10.81.20.225,UDP,5,12,1970-01-01 05:46:01,92
IN,142.250.82.215,10.81.20.225,UDP,6,12,1970-01-01 05:46:01,92
IN,142.250.82.215,10.81.20.225,UDP,7,12,1970-01-01 05:46:01,92
IN,162.159.130.234,10.81.20.225,TCP,4,6,1970-01-01 05:46:01,98
OUT,162.159.130.234,10.81.20.225,TCP,4,6,1970-01-01 05:46:01,98
OUT,142.250.82.211,10.81.20.225,UDP,13,58,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,13,58,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,13,58,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,13,58,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,13,58,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,13,58,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,13,58,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,14,58,1970-01-01 05:46:01,1227
OUT,192.168.108.121,10.81.20.225,UDP,0,3,1970-01-01 05:46:02,72
OUT,192.168.108.121,10.81.20.225,UDP,0,3,1970-01-01 05:46:02,72
OUT,142.250.82.211,10.81.20.225,UDP,14,64,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,14,64,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,14,64,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,14,64,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,14,64,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,14,64,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,15,64,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,7,14,1970-01-01 05:46:01,92
OUT,142.250.82.215,10.81.20.225,UDP,7,14,1970-01-01 05:46:01,92
OUT,142.250.82.211,10.81.20.225,UDP,15,70,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,15,70,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,15,70,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,15,70,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,15,70,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,15,70,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,16,70,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,16,76,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,16,76,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,16,76,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,16,76,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,16,76,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,16,76,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,17,76,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,18,76,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,18,77,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,7,15,1970-01-01 05:46:01,92
OUT,142.250.82.211,10.81.20.225,UDP,18,78,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,19,78,1970-01-01 05:46:01,1227
OUT,142.250.82.215,10.81.20.225,UDP,7,16,1970-01-01 05:46:01,92
OUT,142.250.82.215,10.81.20.225,UDP,7,17,1970-01-01 05:46:01,92
IN,142.250.82.215,10.81.20.225,UDP,8,17,1970-01-01 05:46:01,92
OUT,142.250.82.215,10.81.20.225,UDP,8,18,1970-01-01 05:46:01,92
OUT,142.250.82.211,10.81.20.225,UDP,19,81,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,19,81,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,19,81,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,19,84,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,19,84,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,19,84,1970-01-01 05:46:01,1227
IN,142.250.82.211,10.81.20.225,UDP,20,84,1970-01-01 05:46:01,1227
IN,142.250.82.215,10.81.20.225,UDP,9,18,1970-01-01 05:46:01,92
OUT,142.250.82.211,10.81.20.225,UDP,20,89,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,20,89,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,20,89,1970-01-01 05:46:01,1227
OUT,142.250.82.211,10.81.20.225,UDP,20,89,1970-01-01 05:46:01,1227
