TYPE,SADDR,DADDR,PROTOCOL,I-COUNT,O-COUNT,TIMESTAMP,BYTES
OUT,104.26.7.247,10.81.20.225,TCP,0,1,1713531579724263551,122
OUT,104.26.7.247,10.81.20.225,TCP,0,2,1713531579725626931,122
IN,104.26.7.247,10.81.20.225,TCP,1,2,1713531579752255861,122
IN,104.26.7.247,10.81.20.225,TCP,3,2,1713531579752366759,122
IN,104.26.7.247,10.81.20.225,TCP,3,2,1713531579752401850,122
IN,104.26.7.247,10.81.20.225,TCP,4,2,1713531579760630270,122
OUT,104.26.7.247,10.81.20.225,TCP,4,3,1713531579760731152,122
OUT,104.26.7.247,10.81.20.225,TCP,4,4,1713531579761692894,122
OUT,104.26.7.247,10.81.20.225,TCP,4,5,1713531579764017529,122
IN,104.26.7.247,10.81.20.225,TCP,5,5,1713531579791268773,122
IN,104.26.7.247,10.81.20.225,TCP,6,5,1713531579802494455,122
OUT,104.26.7.247,10.81.20.225,TCP,6,6,1713531579803623981,122
IN,104.26.7.247,10.81.20.225,TCP,7,6,1713531579930884204,122
IN,192.168.108.122,10.81.20.225,UDP,2,0,1713531581042294288,75
IN,192.168.108.122,10.81.20.225,UDP,2,0,1713531581042491170,75
IN,192.168.108.122,10.81.20.225,UDP,2,0,1713531581042623474,75
IN,192.168.108.122,10.81.20.225,UDP,2,0,1713531581042745929,75
OUT,127.0.0.1,127.0.0.53,UDP,4,4,1713531581101382001,78
IN,127.0.0.53,127.0.0.1,UDP,6,6,1713531581101529174,78
OUT,127.0.0.53,127.0.0.1,UDP,7,7,1713531581101612360,78
IN,127.0.0.1,127.0.0.53,UDP,8,8,1713531581101685550,78
OUT,127.0.0.1,127.0.0.53,UDP,9,9,1713531581101923147,78
IN,127.0.0.53,127.0.0.1,UDP,9,9,1713531581102016121,78
OUT,127.0.0.53,127.0.0.1,UDP,9,9,1713531581102092702,78
IN,127.0.0.1,127.0.0.53,UDP,9,9,1713531581102166602,78
OUT,127.0.0.1,127.0.0.53,UDP,9,9,1713531581102239981,78
IN,127.0.0.53,127.0.0.1,UDP,9,9,1713531581102312711,78
OUT,127.0.0.53,127.0.0.1,UDP,9,9,1713531581102385306,78
IN,127.0.0.1,127.0.0.53,UDP,9,9,1713531581102458983,78
OUT,127.0.0.1,127.0.0.53,UDP,9,9,1713531581102525043,78
IN,127.0.0.53,127.0.0.1,UDP,9,9,1713531581102589482,78
OUT,127.0.0.53,127.0.0.1,UDP,9,9,1713531581102653475,78
IN,127.0.0.1,127.0.0.53,UDP,9,9,1713531581102720946,78
OUT,127.0.0.1,127.0.0.53,UDP,9,9,1713531581102785007,78
IN,127.0.0.53,127.0.0.1,UDP,9,9,1713531581102846632,78
OUT,127.0.0.53,127.0.0.1,UDP,9,9,1713531581102909158,78
IN,127.0.0.1,127.0.0.53,UDP,9,9,1713531581103013158,78
OUT,127.0.0.1,127.0.0.53,UDP,9,9,1713531581103076483,78
IN,127.0.0.53,127.0.0.1,UDP,9,9,1713531581103134391,78
OUT,127.0.0.53,127.0.0.1,UDP,9,9,1713531581103228655,78
IN,127.0.0.1,127.0.0.53,UDP,9,9,1713531581103292250,78
OUT,127.0.0.1,127.0.0.53,UDP,9,9,1713531581103351697,78
IN,127.0.0.53,127.0.0.1,UDP,9,9,1713531581103410329,78
OUT,127.0.0.53,127.0.0.1,UDP,9,9,1713531581103468149,78
IN,127.0.0.1,127.0.0.53,UDP,9,9,1713531581103525522,78
OUT,127.0.0.1,127.0.0.53,UDP,9,9,1713531581103582336,78
IN,127.0.0.53,127.0.0.1,UDP,9,9,1713531581103638720,78
OUT,127.0.0.53,127.0.0.1,UDP,9,9,1713531581103695556,78
