TYPE,SADDR,DADDR,PROTOCOL,I-COUNT,O-COUNT,TIMESTAMP,BYTES
OUT,10.75.4.72,10.61.37.78,TCP,0,1,1970-01-01 05:36:59,162
IN,10.75.4.72,10.61.37.78,TCP,1,2,1970-01-01 05:36:59,162
OUT,10.75.4.72,10.61.37.78,TCP,1,2,1970-01-01 05:36:59,162
OUT,10.75.8.54,10.61.37.78,TCP,0,1,1970-01-01 05:36:59,162
IN,10.75.8.54,10.61.37.78,TCP,1,2,1970-01-01 05:36:59,162
OUT,10.75.8.54,10.61.37.78,TCP,1,2,1970-01-01 05:36:59,162
IN,10.61.37.78,239.255.255.250,UDP,1,0,1970-01-01 05:36:59,153
OUT,239.255.255.250,10.61.37.78,UDP,0,1,1970-01-01 05:36:59,153
IN,10.61.37.78,224.0.0.251,UDP,1,0,1970-01-01 05:36:59,73
OUT,224.0.0.251,10.61.37.78,UDP,0,1,1970-01-01 05:36:59,73
OUT,10.75.10.183,10.61.37.78,TCP,0,1,1970-01-01 05:36:59,162
IN,10.75.10.183,10.61.37.78,TCP,1,2,1970-01-01 05:36:59,162
OUT,10.75.10.183,10.61.37.78,TCP,1,2,1970-01-01 05:36:59,162
OUT,10.75.8.201,10.61.37.78,TCP,0,1,1970-01-01 05:36:59,52
IN,10.75.8.201,10.61.37.78,TCP,2,3,1970-01-01 05:36:59,52
OUT,10.75.8.201,10.61.37.78,TCP,2,3,1970-01-01 05:36:59,52
IN,10.75.8.201,10.61.37.78,TCP,2,3,1970-01-01 05:36:59,52
OUT,10.75.8.201,10.61.37.78,TCP,2,3,1970-01-01 05:36:59,52
OUT,10.75.6.23,10.61.37.78,TCP,0,1,1970-01-01 05:36:59,60
OUT,192.168.108.121,10.61.37.78,UDP,0,1,1970-01-01 05:36:59,67
OUT,192.168.108.121,10.61.37.78,UDP,0,7,1970-01-01 05:36:59,67
OUT,192.168.108.121,10.61.37.78,UDP,0,7,1970-01-01 05:36:59,67
OUT,192.168.108.121,10.61.37.78,UDP,0,7,1970-01-01 05:36:59,67
OUT,192.168.108.121,10.61.37.78,UDP,0,7,1970-01-01 05:36:59,67
OUT,192.168.108.121,10.61.37.78,UDP,0,7,1970-01-01 05:36:59,67
OUT,192.168.108.121,10.61.37.78,UDP,0,7,1970-01-01 05:36:59,67
OUT,10.75.4.50,10.61.37.78,TCP,0,1,1970-01-01 05:37:00,162
IN,10.75.4.50,10.61.37.78,TCP,1,2,1970-01-01 05:37:00,162
