SADDR,DADDR,PROTOCOL,proto,spkts,dpkts,dur,sbytes,dbytes,smean,dmean,sinpkt,dinpkt
127.0.0.1,127.0.0.53,UDP,UDP,198,154,0.0,130,65,65.0,65.0,0.0,0.0
127.0.0.53,127.0.0.1,UDP,UDP,154,198,0.0,65,130,65.0,65.0,0.0,0.0
142.250.194.78,10.81.20.225,UDP,UDP,1011,1116,0.0,17892,17892,1278.0,1278.0,0.0,0.0
172.64.148.154,10.81.20.225,UDP,UDP,185,178,0.0,2835,2835,945.0,945.0,0.0,0.0
172.64.155.247,10.81.20.225,UDP,UDP,377,370,0.0,2694,2694,898.0,898.0,0.0,0.0
192.168.108.121,10.81.20.225,UDP,UDP,626,777,0.0,534,445,89.0,89.0,0.0,0.0
192.168.108.122,10.81.20.225,UDP,UDP,178,224,0.0,73,146,73.0,73.0,0.0,0.0
20.189.173.26,10.81.20.225,TCP,TCP,192,143,0.0,1020,850,170.0,170.0,0.0,0.0
216.239.34.180,10.81.20.225,UDP,UDP,8701,8212,0.0,12519,12519,963.0,963.0,0.0,0.0
74.125.24.188,10.81.20.225,TCP,TCP,25,26,0.0,60,60,60.0,60.0,0.0,0.0
91.189.91.43,10.81.20.225,TCP,TCP,46436876,41799871,0.0,3353964,3058436,2788.0,2788.0,0.0,0.0
